S.No,Age_Group,Gender,Income,Purchase_Frequency,Avg_Purchase_Value,Loyalty_Member,Years_Shopping,Device_Used,Preferred_Category,Discount_%,Validity_Days,Min_Purchase_Required,Coupon_Category,Redeemed
1453,55+,Male,>20L,Weekly,10000.0,Yes,1-3,Mobile,Electronics,25.0,7.0,2000.0,Home & Furniture,No
1454,55+,Male,>20L,Bi-weekly,10000.0,Yes,5+,Both,Fashion,10.0,7.0,1000.0,Home & Furniture,Yes
1455,36-45,Male,5L-10L,Quarterly,5000.0,No,<1,Desktop,Electronics,30.0,7.0,1000.0,Fashion,No
1457,26-35,Male,2-5L,Weekly,5000.0,No,1-3,Desktop,Electronics,30.0,15.0,5000.0,Electronics,Yes
1458,36-45,Male,<2,Quarterly,12000.0,Yes,5+,Mobile,Fashion,30.0,30.0,2000.0,Groceries,No
1461,55+,Male,2-5L,Monthly,3000.0,No,1-3,Mobile,Electronics,30.0,7.0,500.0,Electronics,Yes
1462,46-55,Male,10-20L,Quarterly,15000.0,Yes,3-5,Both,Electronics,20.0,15.0,1000.0,Home & Furniture,Yes
1463,26-35,Female,>20L,Weekly,7000.0,No,1-3,Both,Fashion,30.0,30.0,5000.0,Groceries,No
1464,36-45,Male,5L-10L,Weekly,7000.0,Yes,5+,Mobile,Books,40.0,30.0,5000.0,Electronics,Yes
1465,55+,Female,<2,Bi-weekly,10000.0,Yes,3-5,Both,Electronics,30.0,60.0,5000.0,Electronics,No
1466,46-55,Female,5L-10L,Rarely,10000.0,No,<1,Desktop,Groceries,25.0,15.0,5000.0,Electronics,Yes
1467,36-45,Male,5-10L,Rarely,15000.0,Yes,1-3,Mobile,Home & Furniture,20.0,15.0,500.0,Fashion,Yes
1468,26-35,Male,>20L,Weekly,5000.0,Yes,<1,Mobile,Fashion,20.0,7.0,500.0,Fashion,No
1469,55+,Male,2-5L,Quarterly,5000.0,Yes,1-3,Mobile,Fashion,60.0,30.0,1000.0,Home & Furniture,Yes
1471,55+,Male,2-5L,Quarterly,10000.0,No,3-5,Mobile,Fashion,30.0,15.0,500.0,Fashion,No
1472,55+,Female,2-5L,Weekly,10000.0,No,3-5,Mobile,Groceries,40.0,15.0,1000.0,Home & Furniture,No
1473,18-25,Male,>20L,Weekly,5000.0,Yes,1-3,Mobile,Home & Furniture,30.0,7.0,2000.0,Groceries,No
1474,36-45,Male,<2L,Weekly,15000.0,No,<1,Mobile,Fashion,20.0,30.0,2000.0,Home & Furniture,No
1475,46-55,Male,2-5L,Weekly,20000.0,No,<1,Mobile,Electronics,20.0,15.0,5000.0,Books,Yes
1476,46-55,Male,2-5L,Weekly,7000.0,No,3-5,Mobile,Groceries,30.0,60.0,1000.0,Groceries,Yes
1477,36-45,Male,2-5L,Quarterly,3000.0,No,5+,Mobile,Fashion,20.0,7.0,500.0,Fashion,No
1481,36-45,Male,2-5L,Monthly,7000.0,Yes,3-5,Mobile,Home & Furniture,10.0,60.0,1000.0,Home & Furniture,No
1482,55+,Male,<2L,Quarterly,10000.0,No,5+,Mobile,Home & Furniture,10.0,7.0,1000.0,Home & Furniture,No
1483,46-55,Female,<2,Quarterly,5000.0,No,3-5,Mobile,Electronics,50.0,30.0,1000.0,Groceries,No
1485,46-55,Male,<2L,Weekly,20000.0,No,<1,Mobile,Groceries,30.0,30.0,1000.0,Home & Furniture,Yes
1486,18-25,Male,10-20L,Monthly,5000.0,No,3-5,Desktop,Fashion,10.0,15.0,500.0,Home & Furniture,No
1487,55+,Female,5-10L,Weekly,20000.0,Yes,<1,Desktop,Electronics,30.0,15.0,2000.0,Fashion,No
1488,36-45,Male,2-5L,Monthly,10000.0,Yes,1-3,Desktop,Books,50.0,7.0,1000.0,Electronics,No
1490,36-45,Female,5-10L,Weekly,10000.0,Yes,1-3,Both,Fashion,30.0,15.0,2000.0,Home & Furniture,No
1491,18-25,Male,<2L,Bi-weekly,20000.0,No,3-5,Mobile,Electronics,15.0,30.0,1000.0,Groceries,Yes
1492,55+,Female,2-5L,Quarterly,15000.0,Yes,5+,Mobile,Electronics,25.0,15.0,5000.0,Home & Furniture,Yes
1494,55+,Male,5L-10L,Weekly,5000.0,Yes,1-3,Mobile,Electronics,50.0,15.0,5000.0,Home & Furniture,Yes
1495,36-45,Male,<2,Quarterly,7000.0,Yes,<1,Desktop,Fashion,40.0,30.0,1000.0,Groceries,Yes
1496,46-55,Female,5-10L,Rarely,5000.0,Yes,1-3,Mobile,Home & Furniture,20.0,7.0,10000.0,Fashion,No
1497,55+,Female,5-10L,Quarterly,5000.0,Yes,1-3,Mobile,Home & Furniture,20.0,60.0,500.0,Home & Furniture,No
1498,46-55,Male,<2,Weekly,15000.0,No,<1,Mobile,Electronics,25.0,15.0,500.0,Home & Furniture,Yes
1500,46-55,Male,10-20L,Weekly,12000.0,Yes,1-3,Mobile,Electronics,25.0,7.0,5000.0,Groceries,Yes
1501,46-55,Male,5-10L,Quarterly,10000.0,No,3-5,Mobile,Home & Furniture,50.0,30.0,5000.0,Home & Furniture,No
1502,55+,Female,2-5L,Monthly,5000.0,Yes,<1,Desktop,Fashion,20.0,60.0,2000.0,Fashion,No
1503,36-45,Male,2-5L,Weekly,5000.0,No,5+,Mobile,Electronics,20.0,15.0,1000.0,Home & Furniture,No
1505,55+,Male,2-5L,Weekly,7000.0,No,1-3,Mobile,Books,60.0,60.0,2000.0,Home & Furniture,No
1506,46-55,Male,5-10L,Quarterly,10000.0,Yes,3-5,Mobile,Home & Furniture,15.0,15.0,10000.0,Home & Furniture,Yes
1507,55+,Male,2-5L,Weekly,5000.0,No,<1,Mobile,Electronics,30.0,7.0,1000.0,Home & Furniture,Yes
1508,36-45,Male,2-5L,Quarterly,5000.0,No,3-5,Mobile,Groceries,30.0,7.0,5000.0,Electronics,No
1509,26-35,Male,5L-10L,Weekly,5000.0,No,3-5,Mobile,Books,50.0,60.0,5000.0,Fashion,No
1510,55+,Female,2-5L,Rarely,5000.0,Yes,3-5,Mobile,Electronics,30.0,15.0,1000.0,Home & Furniture,Yes
1511,18-25,Male,>20L,Weekly,15000.0,No,<1,Mobile,Home & Furniture,40.0,15.0,1000.0,Fashion,No
1512,26-35,Female,<2L,Monthly,10000.0,No,3-5,Mobile,Fashion,40.0,15.0,1000.0,Fashion,No
1513,46-55,Male,5-10L,Weekly,15000.0,No,1-3,Mobile,Fashion,15.0,30.0,500.0,Groceries,Yes
1514,55+,Male,>20L,Rarely,15000.0,Yes,3-5,Both,Fashion,10.0,30.0,2000.0,Home & Furniture,Yes
1515,55+,Female,5L-10L,Weekly,10000.0,No,<1,Mobile,Electronics,30.0,7.0,5000.0,Home & Furniture,No
1518,55+,Male,5L-10L,Rarely,3000.0,No,3-5,Mobile,Fashion,30.0,7.0,5000.0,Fashion,No
1519,18-25,Male,10-20L,Weekly,15000.0,No,3-5,Mobile,Fashion,10.0,30.0,2000.0,Groceries,No
1520,26-35,Female,5L-10L,Weekly,12000.0,Yes,1-3,Mobile,Fashion,40.0,7.0,500.0,Electronics,No
1521,26-35,Male,>20L,Weekly,10000.0,No,1-3,Desktop,Electronics,30.0,7.0,1000.0,Home & Furniture,No
1523,55+,Male,>20L,Rarely,5000.0,No,5+,Desktop,Fashion,60.0,15.0,1000.0,Fashion,No
1524,55+,Male,2-5L,Bi-weekly,3000.0,Yes,<1,Mobile,Electronics,30.0,60.0,2000.0,Home & Furniture,No
1525,55+,Female,>20L,Quarterly,5000.0,No,1-3,Desktop,Home & Furniture,30.0,30.0,1000.0,Fashion,Yes
1526,26-35,Male,5L-10L,Weekly,20000.0,Yes,1-3,Mobile,Electronics,25.0,60.0,500.0,Electronics,No
1528,36-45,Male,5-10L,Rarely,20000.0,No,3-5,Mobile,Books,30.0,30.0,500.0,Electronics,Yes
1529,18-25,Male,10-20L,Bi-weekly,10000.0,No,1-3,Desktop,Electronics,30.0,30.0,500.0,Electronics,Yes
1530,26-35,Male,2-5L,Rarely,7000.0,No,<1,Both,Groceries,25.0,60.0,2000.0,Electronics,Yes
1531,26-35,Male,5-10L,Weekly,5000.0,No,<1,Mobile,Fashion,20.0,60.0,5000.0,Home & Furniture,Yes
1532,18-25,Female,10-20L,Quarterly,3000.0,Yes,3-5,Desktop,Electronics,15.0,30.0,500.0,Home & Furniture,Yes
1533,46-55,Male,5-10L,Quarterly,10000.0,No,1-3,Both,Electronics,40.0,15.0,1000.0,Electronics,No
1534,55+,Male,<2,Rarely,10000.0,Yes,1-3,Desktop,Electronics,25.0,7.0,1000.0,Fashion,No
1535,18-25,Female,5-10L,Weekly,7000.0,No,3-5,Mobile,Electronics,40.0,60.0,1000.0,Electronics,Yes
1537,55+,Male,2-5L,Quarterly,3000.0,Yes,5+,Mobile,Groceries,30.0,15.0,5000.0,Home & Furniture,Yes
1539,55+,Male,10-20L,Quarterly,10000.0,No,<1,Both,Electronics,60.0,30.0,2000.0,Books,No
1540,36-45,Female,5-10L,Quarterly,10000.0,No,5+,Mobile,Home & Furniture,30.0,15.0,500.0,Home & Furniture,Yes
1541,55+,Male,5-10L,Weekly,5000.0,No,<1,Desktop,Fashion,40.0,7.0,2000.0,Fashion,No
1542,55+,Male,<2,Rarely,12000.0,Yes,3-5,Desktop,Electronics,30.0,30.0,500.0,Groceries,No
1543,36-45,Male,10-20L,Monthly,5000.0,No,3-5,Desktop,Fashion,30.0,30.0,2000.0,Groceries,No
1544,55+,Male,2-5L,Weekly,12000.0,Yes,1-3,Mobile,Fashion,40.0,15.0,2000.0,Electronics,Yes
1545,36-45,Male,<2,Quarterly,10000.0,No,3-5,Desktop,Electronics,25.0,60.0,1000.0,Fashion,No
1546,36-45,Male,5-10L,Monthly,10000.0,Yes,3-5,Both,Electronics,15.0,15.0,500.0,Books,No
1548,55+,Male,<2,Rarely,12000.0,No,3-5,Mobile,Fashion,60.0,30.0,2000.0,Books,No
1549,36-45,Male,5L-10L,Weekly,10000.0,Yes,3-5,Both,Electronics,40.0,30.0,1000.0,Fashion,No
1551,18-25,Male,10-20L,Weekly,10000.0,No,5+,Mobile,Home & Furniture,25.0,7.0,10000.0,Home & Furniture,No
1553,26-35,Male,<2,Weekly,7000.0,No,1-3,Mobile,Books,20.0,60.0,1000.0,Books,Yes
1554,55+,Female,<2,Quarterly,10000.0,Yes,1-3,Mobile,Fashion,30.0,30.0,500.0,Electronics,Yes
1555,26-35,Male,2-5L,Weekly,10000.0,No,3-5,Mobile,Home & Furniture,60.0,60.0,2000.0,Fashion,Yes
1556,55+,Male,10-20L,Weekly,5000.0,Yes,1-3,Both,Electronics,40.0,15.0,2000.0,Electronics,No
1557,55+,Male,<2,Rarely,12000.0,No,1-3,Desktop,Books,10.0,7.0,2000.0,Electronics,No
1558,36-45,Female,5L-10L,Weekly,5000.0,No,1-3,Mobile,Electronics,20.0,7.0,1000.0,Home & Furniture,No
1559,46-55,Male,2-5L,Quarterly,5000.0,No,1-3,Desktop,Fashion,40.0,30.0,1000.0,Home & Furniture,Yes
1560,55+,Male,5L-10L,Weekly,5000.0,Yes,<1,Mobile,Electronics,50.0,30.0,1000.0,Electronics,Yes
1561,55+,Male,2-5L,Monthly,15000.0,Yes,1-3,Mobile,Books,15.0,7.0,1000.0,Electronics,No
1562,46-55,Male,10-20L,Weekly,5000.0,Yes,1-3,Mobile,Electronics,20.0,7.0,2000.0,Groceries,No
1564,55+,Male,5-10L,Weekly,10000.0,No,<1,Both,Home & Furniture,50.0,7.0,1000.0,Fashion,Yes
1565,55+,Male,5-10L,Weekly,5000.0,Yes,3-5,Mobile,Groceries,30.0,7.0,2000.0,Home & Furniture,No
1566,36-45,Male,<2,Weekly,5000.0,No,<1,Desktop,Electronics,20.0,15.0,500.0,Fashion,Yes
1567,18-25,Female,2-5L,Bi-weekly,10000.0,No,1-3,Mobile,Electronics,30.0,30.0,5000.0,Fashion,No
1568,18-25,Male,5-10L,Quarterly,5000.0,No,<1,Mobile,Groceries,30.0,7.0,5000.0,Electronics,No
1569,36-45,Male,5L-10L,Quarterly,15000.0,Yes,1-3,Desktop,Electronics,25.0,7.0,1000.0,Fashion,No
1570,36-45,Female,2-5L,Weekly,12000.0,No,5+,Mobile,Fashion,60.0,60.0,1000.0,Electronics,No
1571,36-45,Male,5L-10L,Quarterly,15000.0,No,3-5,Mobile,Books,50.0,60.0,1000.0,Groceries,No
1573,46-55,Male,>20L,Quarterly,3000.0,No,<1,Mobile,Home & Furniture,25.0,15.0,500.0,Home & Furniture,No
1574,55+,Male,2-5L,Weekly,12000.0,No,3-5,Both,Groceries,10.0,30.0,1000.0,Home & Furniture,Yes
1575,18-25,Male,5-10L,Weekly,10000.0,No,1-3,Mobile,Electronics,10.0,7.0,5000.0,Home & Furniture,No
1576,26-35,Male,5-10L,Monthly,12000.0,Yes,<1,Mobile,Electronics,30.0,30.0,2000.0,Electronics,Yes
1577,55+,Male,>20L,Weekly,20000.0,Yes,1-3,Mobile,Electronics,60.0,30.0,2000.0,Electronics,No
1578,55+,Male,>20L,Rarely,5000.0,Yes,1-3,Desktop,Electronics,15.0,30.0,500.0,Books,Yes
1579,55+,Male,>20L,Weekly,10000.0,Yes,<1,Desktop,Fashion,15.0,15.0,1000.0,Groceries,No
1580,55+,Male,10-20L,Quarterly,5000.0,Yes,3-5,Mobile,Home & Furniture,40.0,30.0,5000.0,Home & Furniture,Yes
1581,55+,Male,5-10L,Weekly,15000.0,Yes,5+,Mobile,Groceries,30.0,60.0,2000.0,Groceries,No
1582,55+,Male,5L-10L,Quarterly,5000.0,Yes,5+,Mobile,Fashion,25.0,7.0,1000.0,Home & Furniture,Yes
1583,36-45,Male,5L-10L,Weekly,5000.0,No,3-5,Both,Fashion,20.0,30.0,1000.0,Fashion,No
1584,26-35,Male,<2,Weekly,15000.0,No,5+,Mobile,Home & Furniture,20.0,15.0,1000.0,Home & Furniture,Yes
1585,46-55,Male,>20L,Rarely,5000.0,No,5+,Mobile,Groceries,20.0,15.0,500.0,Home & Furniture,Yes
1586,55+,Female,5-10L,Rarely,10000.0,Yes,3-5,Mobile,Electronics,20.0,15.0,1000.0,Fashion,Yes
1587,36-45,Male,5L-10L,Monthly,10000.0,No,<1,Desktop,Groceries,25.0,15.0,1000.0,Home & Furniture,No
1588,46-55,Male,<2,Quarterly,10000.0,No,3-5,Mobile,Home & Furniture,30.0,15.0,1000.0,Fashion,No
1590,26-35,Male,2-5L,Quarterly,3000.0,No,<1,Mobile,Electronics,10.0,30.0,10000.0,Electronics,Yes
1591,26-35,Male,<2L,Weekly,7000.0,No,3-5,Mobile,Fashion,40.0,60.0,1000.0,Electronics,Yes
1592,18-25,Male,>20L,Bi-weekly,7000.0,No,1-3,Both,Home & Furniture,30.0,7.0,1000.0,Electronics,No
1593,55+,Male,<2L,Weekly,10000.0,Yes,3-5,Desktop,Home & Furniture,30.0,15.0,1000.0,Fashion,No
1594,55+,Male,<2,Monthly,12000.0,Yes,<1,Both,Books,20.0,30.0,1000.0,Electronics,Yes
1595,55+,Female,5-10L,Rarely,10000.0,Yes,5+,Mobile,Groceries,10.0,30.0,1000.0,Fashion,Yes
1596,55+,Male,5-10L,Monthly,5000.0,No,1-3,Desktop,Electronics,15.0,7.0,10000.0,Electronics,No
1597,26-35,Male,5-10L,Quarterly,15000.0,No,1-3,Mobile,Fashion,20.0,7.0,500.0,Home & Furniture,Yes
1598,26-35,Male,5-10L,Rarely,5000.0,Yes,3-5,Mobile,Electronics,20.0,7.0,1000.0,Groceries,No
1599,55+,Male,2-5L,Quarterly,20000.0,Yes,3-5,Mobile,Electronics,20.0,15.0,500.0,Fashion,No
1600,26-35,Female,5-10L,Quarterly,20000.0,No,<1,Mobile,Electronics,20.0,15.0,5000.0,Electronics,Yes
1601,55+,Male,2-5L,Weekly,20000.0,No,<1,Mobile,Groceries,20.0,15.0,5000.0,Home & Furniture,No
1603,55+,Female,<2,Quarterly,5000.0,Yes,<1,Mobile,Electronics,40.0,7.0,1000.0,Groceries,No
1604,55+,Male,2-5L,Weekly,10000.0,No,<1,Mobile,Electronics,20.0,15.0,5000.0,Electronics,No
1605,26-35,Male,5-10L,Weekly,7000.0,No,3-5,Mobile,Electronics,30.0,30.0,2000.0,Electronics,Yes
1606,26-35,Male,<2,Weekly,7000.0,No,3-5,Desktop,Books,25.0,30.0,10000.0,Home & Furniture,Yes
1607,55+,Male,2-5L,Weekly,10000.0,Yes,3-5,Mobile,Groceries,30.0,15.0,2000.0,Groceries,Yes
1608,55+,Male,2-5L,Weekly,10000.0,No,3-5,Mobile,Electronics,25.0,15.0,5000.0,Fashion,No
1610,36-45,Male,10-20L,Weekly,5000.0,No,5+,Mobile,Fashion,30.0,7.0,1000.0,Fashion,No
1611,26-35,Male,2-5L,Weekly,10000.0,Yes,3-5,Mobile,Home & Furniture,25.0,15.0,1000.0,Books,No
1612,55+,Male,10-20L,Quarterly,3000.0,Yes,<1,Mobile,Books,30.0,60.0,1000.0,Home & Furniture,No
1614,36-45,Male,5-10L,Weekly,12000.0,No,1-3,Mobile,Electronics,30.0,15.0,2000.0,Home & Furniture,Yes
1615,55+,Female,5-10L,Rarely,15000.0,No,<1,Desktop,Home & Furniture,25.0,30.0,1000.0,Electronics,No
1616,26-35,Male,<2,Weekly,12000.0,Yes,5+,Mobile,Books,25.0,7.0,500.0,Home & Furniture,No
1617,18-25,Male,>20L,Bi-weekly,10000.0,Yes,3-5,Desktop,Electronics,30.0,60.0,500.0,Home & Furniture,No
1618,46-55,Male,<2L,Weekly,15000.0,No,<1,Desktop,Fashion,30.0,15.0,2000.0,Fashion,Yes
1619,55+,Male,10-20L,Monthly,10000.0,Yes,3-5,Both,Electronics,50.0,30.0,1000.0,Electronics,No
1620,18-25,Male,>20L,Rarely,12000.0,Yes,<1,Both,Books,30.0,7.0,1000.0,Groceries,No
1621,26-35,Female,5-10L,Quarterly,3000.0,No,3-5,Both,Books,50.0,30.0,500.0,Home & Furniture,No
1622,46-55,Male,<2,Weekly,10000.0,No,3-5,Mobile,Home & Furniture,40.0,7.0,500.0,Electronics,Yes
1623,55+,Female,5-10L,Weekly,5000.0,Yes,5+,Mobile,Fashion,30.0,30.0,2000.0,Fashion,No
1624,18-25,Female,<2L,Quarterly,3000.0,No,1-3,Desktop,Home & Furniture,40.0,30.0,2000.0,Home & Furniture,No
1625,36-45,Male,5L-10L,Weekly,10000.0,No,3-5,Mobile,Home & Furniture,15.0,60.0,1000.0,Home & Furniture,No
1626,55+,Male,>20L,Quarterly,5000.0,Yes,3-5,Mobile,Fashion,40.0,30.0,1000.0,Electronics,No
1627,36-45,Female,2-5L,Monthly,5000.0,Yes,3-5,Mobile,Books,10.0,7.0,500.0,Books,No
1628,26-35,Female,<2L,Weekly,12000.0,Yes,5+,Desktop,Fashion,20.0,30.0,2000.0,Fashion,Yes
1629,26-35,Male,5-10L,Quarterly,10000.0,Yes,<1,Desktop,Fashion,60.0,30.0,2000.0,Books,Yes
1631,36-45,Male,>20L,Monthly,12000.0,Yes,5+,Mobile,Books,15.0,7.0,10000.0,Fashion,No
1632,55+,Female,2-5L,Quarterly,10000.0,No,1-3,Desktop,Home & Furniture,25.0,60.0,500.0,Books,No
1634,55+,Female,<2L,Monthly,5000.0,No,3-5,Both,Electronics,10.0,30.0,5000.0,Electronics,No
1635,55+,Male,2-5L,Weekly,5000.0,No,3-5,Mobile,Books,60.0,30.0,2000.0,Groceries,Yes
1637,36-45,Female,10-20L,Weekly,12000.0,No,1-3,Both,Groceries,50.0,30.0,2000.0,Home & Furniture,No
1638,55+,Male,5-10L,Bi-weekly,5000.0,No,5+,Mobile,Books,30.0,30.0,10000.0,Fashion,No
1639,55+,Female,5-10L,Quarterly,7000.0,Yes,1-3,Mobile,Electronics,30.0,60.0,500.0,Groceries,No
1640,55+,Male,5L-10L,Rarely,10000.0,Yes,3-5,Mobile,Books,60.0,15.0,2000.0,Home & Furniture,No
1641,55+,Female,5-10L,Weekly,12000.0,No,3-5,Mobile,Electronics,15.0,15.0,1000.0,Fashion,No
1642,18-25,Male,10-20L,Monthly,15000.0,Yes,3-5,Desktop,Home & Furniture,15.0,60.0,10000.0,Groceries,No
1643,36-45,Male,<2L,Weekly,5000.0,Yes,5+,Both,Electronics,40.0,7.0,1000.0,Electronics,No
1644,26-35,Male,5-10L,Monthly,5000.0,No,3-5,Both,Groceries,10.0,30.0,500.0,Home & Furniture,No
1645,26-35,Male,2-5L,Bi-weekly,10000.0,No,<1,Both,Fashion,30.0,7.0,2000.0,Electronics,No
1646,36-45,Male,2-5L,Quarterly,15000.0,Yes,5+,Mobile,Fashion,30.0,15.0,10000.0,Groceries,Yes
1647,26-35,Female,5-10L,Weekly,5000.0,No,5+,Mobile,Fashion,30.0,15.0,2000.0,Fashion,No
1648,55+,Male,5-10L,Quarterly,10000.0,No,3-5,Mobile,Home & Furniture,20.0,30.0,500.0,Home & Furniture,No
1649,55+,Male,5-10L,Weekly,5000.0,Yes,5+,Mobile,Electronics,60.0,7.0,1000.0,Electronics,Yes
1650,55+,Male,5L-10L,Weekly,5000.0,Yes,<1,Desktop,Electronics,40.0,15.0,10000.0,Fashion,No
1651,26-35,Female,<2,Rarely,5000.0,Yes,5+,Desktop,Home & Furniture,20.0,30.0,2000.0,Groceries,Yes
1652,26-35,Female,5-10L,Weekly,10000.0,Yes,3-5,Mobile,Electronics,30.0,60.0,500.0,Fashion,Yes
1654,18-25,Female,<2,Weekly,7000.0,No,1-3,Mobile,Fashion,30.0,30.0,1000.0,Fashion,No
1655,55+,Male,5-10L,Weekly,10000.0,No,<1,Mobile,Books,30.0,15.0,1000.0,Fashion,Yes
1657,26-35,Male,5-10L,Quarterly,5000.0,Yes,<1,Both,Groceries,50.0,30.0,2000.0,Books,No
1660,18-25,Male,2-5L,Quarterly,15000.0,Yes,1-3,Mobile,Books,30.0,30.0,1000.0,Home & Furniture,No
1661,26-35,Female,<2,Weekly,12000.0,No,3-5,Both,Electronics,30.0,30.0,1000.0,Home & Furniture,No
1662,46-55,Male,5-10L,Bi-weekly,10000.0,No,1-3,Mobile,Books,25.0,30.0,1000.0,Electronics,Yes
1663,55+,Female,5-10L,Weekly,10000.0,No,3-5,Desktop,Books,30.0,15.0,2000.0,Home & Furniture,Yes
1664,26-35,Female,5-10L,Rarely,15000.0,Yes,3-5,Mobile,Groceries,30.0,30.0,2000.0,Books,No
1665,55+,Male,5L-10L,Monthly,3000.0,Yes,3-5,Mobile,Electronics,15.0,7.0,500.0,Fashion,No
1666,55+,Male,5-10L,Rarely,10000.0,No,3-5,Mobile,Fashion,50.0,7.0,10000.0,Books,Yes
1667,55+,Male,<2L,Quarterly,5000.0,No,<1,Desktop,Groceries,50.0,15.0,5000.0,Electronics,Yes
1668,26-35,Male,<2L,Weekly,10000.0,Yes,1-3,Both,Electronics,40.0,60.0,1000.0,Fashion,Yes
1669,55+,Female,>20L,Quarterly,10000.0,No,<1,Mobile,Fashion,30.0,60.0,1000.0,Electronics,No
1670,55+,Male,2-5L,Quarterly,5000.0,No,3-5,Both,Electronics,30.0,15.0,1000.0,Fashion,No
1671,26-35,Male,2-5L,Weekly,5000.0,No,<1,Desktop,Books,30.0,7.0,1000.0,Home & Furniture,No
1672,46-55,Male,10-20L,Weekly,10000.0,Yes,3-5,Desktop,Home & Furniture,60.0,30.0,1000.0,Fashion,Yes
1673,55+,Male,<2,Rarely,20000.0,No,5+,Both,Home & Furniture,25.0,60.0,5000.0,Home & Furniture,Yes
1674,18-25,Male,10-20L,Weekly,10000.0,No,1-3,Mobile,Electronics,60.0,30.0,1000.0,Home & Furniture,Yes
1675,55+,Male,<2,Monthly,10000.0,No,<1,Mobile,Home & Furniture,20.0,7.0,500.0,Electronics,Yes
1676,55+,Male,5L-10L,Quarterly,20000.0,No,<1,Mobile,Fashion,25.0,15.0,2000.0,Home & Furniture,Yes
1677,55+,Female,10-20L,Monthly,15000.0,Yes,<1,Mobile,Fashion,25.0,30.0,5000.0,Electronics,No
1678,36-45,Male,>20L,Weekly,12000.0,Yes,1-3,Both,Electronics,20.0,7.0,1000.0,Home & Furniture,Yes
1680,46-55,Male,5-10L,Weekly,10000.0,Yes,5+,Mobile,Groceries,50.0,30.0,1000.0,Electronics,No
1682,55+,Male,>20L,Quarterly,15000.0,No,<1,Mobile,Electronics,60.0,60.0,1000.0,Groceries,No
1683,55+,Female,>20L,Quarterly,10000.0,Yes,3-5,Mobile,Electronics,20.0,15.0,1000.0,Groceries,No
1684,26-35,Male,5-10L,Weekly,10000.0,No,5+,Mobile,Electronics,30.0,30.0,500.0,Groceries,No
1686,26-35,Male,>20L,Weekly,10000.0,Yes,1-3,Mobile,Fashion,40.0,7.0,5000.0,Home & Furniture,No
1687,36-45,Male,5L-10L,Bi-weekly,5000.0,Yes,5+,Mobile,Books,10.0,60.0,1000.0,Electronics,Yes
1688,46-55,Male,2-5L,Bi-weekly,3000.0,Yes,1-3,Mobile,Books,30.0,7.0,2000.0,Fashion,Yes
1690,36-45,Female,<2,Weekly,5000.0,Yes,3-5,Mobile,Electronics,40.0,30.0,500.0,Fashion,Yes
1691,55+,Male,<2L,Weekly,3000.0,Yes,5+,Desktop,Electronics,20.0,7.0,1000.0,Books,Yes
1692,55+,Female,5L-10L,Weekly,10000.0,No,1-3,Mobile,Electronics,60.0,7.0,2000.0,Books,No
1693,26-35,Male,2-5L,Weekly,10000.0,Yes,3-5,Mobile,Electronics,15.0,30.0,1000.0,Groceries,Yes
1696,55+,Male,5-10L,Quarterly,10000.0,No,3-5,Desktop,Groceries,20.0,60.0,2000.0,Home & Furniture,No
1697,55+,Male,<2L,Weekly,7000.0,Yes,3-5,Mobile,Books,40.0,60.0,5000.0,Electronics,Yes
1698,55+,Male,2-5L,Quarterly,7000.0,Yes,3-5,Mobile,Groceries,25.0,7.0,1000.0,Groceries,Yes
1699,55+,Male,>20L,Weekly,15000.0,Yes,3-5,Mobile,Electronics,30.0,60.0,1000.0,Groceries,Yes
1700,55+,Male,5L-10L,Weekly,3000.0,No,3-5,Mobile,Home & Furniture,30.0,7.0,2000.0,Home & Furniture,No
1701,55+,Female,>20L,Weekly,10000.0,Yes,<1,Both,Fashion,40.0,15.0,1000.0,Electronics,Yes
1702,55+,Male,5-10L,Rarely,5000.0,Yes,<1,Desktop,Books,40.0,15.0,5000.0,Fashion,No
1703,36-45,Female,<2,Quarterly,5000.0,Yes,<1,Mobile,Fashion,30.0,60.0,1000.0,Groceries,Yes
1705,36-45,Male,2-5L,Weekly,10000.0,No,3-5,Mobile,Electronics,15.0,30.0,1000.0,Home & Furniture,No
1706,55+,Male,>20L,Weekly,10000.0,Yes,5+,Mobile,Home & Furniture,20.0,15.0,500.0,Groceries,No
1707,18-25,Male,>20L,Rarely,15000.0,Yes,5+,Mobile,Home & Furniture,20.0,30.0,1000.0,Books,No
1708,36-45,Male,<2L,Bi-weekly,12000.0,No,5+,Mobile,Groceries,25.0,30.0,5000.0,Books,No
1710,26-35,Male,2-5L,Weekly,10000.0,No,5+,Mobile,Electronics,20.0,7.0,2000.0,Home & Furniture,Yes
1711,55+,Male,2-5L,Weekly,10000.0,Yes,1-3,Mobile,Books,60.0,30.0,10000.0,Home & Furniture,Yes
1712,36-45,Female,5L-10L,Rarely,10000.0,No,3-5,Mobile,Fashion,30.0,30.0,500.0,Fashion,No
1713,55+,Male,5-10L,Bi-weekly,7000.0,Yes,5+,Mobile,Electronics,10.0,7.0,1000.0,Home & Furniture,No
1715,26-35,Male,2-5L,Monthly,7000.0,Yes,1-3,Mobile,Books,30.0,60.0,500.0,Groceries,No
1716,55+,Male,2-5L,Weekly,12000.0,No,3-5,Both,Fashion,40.0,30.0,1000.0,Fashion,No
1717,36-45,Male,5-10L,Weekly,10000.0,No,3-5,Mobile,Books,15.0,60.0,2000.0,Electronics,No
